"fips","state","densityMi","pop2023","pop2022","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","costIndex","groceryCost","housingCost","utilitiesCost","transportationCost","miscCost"
"50","Vermont",70.33514,648279,646545,643077,641347,625741,0.00268,1734,0.03602,117,109.2,136.2,119,114.2,104.1
"44","Rhode Island",1074.29594,1110822,1106341,1097379,1092896,1052567,0.00405,4481,0.05535,117.2,107.7,121.7,127.6,107.6,118.7
"9","Connecticut",746.69537,3615499,3612314,3605944,3602762,3574097,0.00088,3185,0.01158,121.6,106.4,134.6,132.4,111.1,114.1
"24","Maryland",648.84362,6298325,6257958,6177224,6136855,5773552,0.00645,40367,0.09089,124,110.4,165.9,105.1,107.6,108
"2","Alaska",1.29738,740339,738023,733391,731075,710231,0.00314,2316,0.04239,127.1,134.5,126.9,154.8,109.9,113.7
"41","Oregon",45.41307,4359110,4318492,4237256,4196636,3831074,0.00941,40618,0.13783,130.1,107.8,172.6,90.2,125.9,118.5
"25","Massachusetts",919.82103,7174604,7126375,7029917,6981690,6547629,0.00677,48229,0.09576,135,119.3,177.6,111.1,111.3,116.1
"6","California",258.20877,40223504,39995077,39538223,39309799,37253956,0.00571,228427,0.07971,142.2,113.7,201.9,124.3,131.7,111.3
"36","New York",433.90472,20448194,20365879,20201249,20118937,19378102,0.00404,82315,0.05522,148.2,118.4,230.1,99.8,108.7,114.8
"15","Hawaii",231.00763,1483762,1474265,1455271,1445774,1360301,0.00644,9497,0.09076,193.3,152.9,315,164.2,133.7,126.7
